,abv,brewery_location,brewery_name,ibu,id,name,size,style
0,4.5%,"Minneapolis, MN",NorthGate Brewing ,50,2692,Get Together,16 oz.,American IPA
1,4.9%,"Minneapolis, MN",NorthGate Brewing ,26,2691,Maggie's Leap,16 oz.,Milk / Sweet Stout
2,4.8%,"Minneapolis, MN",NorthGate Brewing ,19,2690,Wall's End,16 oz.,English Brown Ale
3,6.0%,"Minneapolis, MN",NorthGate Brewing ,38,2689,Pumpion,16 oz.,Pumpkin Ale
4,6.0%,"Minneapolis, MN",NorthGate Brewing ,25,2688,Stronghold,16 oz.,American Porter
5,5.6%,"Minneapolis, MN",NorthGate Brewing ,47,2687,Parapet ESB,16 oz.,Extra Special / Strong Bitter (ESB)
6,8.0%,"Louisville, KY",Against the Grain Brewery,68,2686,Citra Ass Down,16 oz.,American Double / Imperial IPA
7,12.5%,"Louisville, KY",Against the Grain Brewery,80,2685,London Balling,16 oz.,English Barleywine
8,7.7%,"Louisville, KY",Against the Grain Brewery,25,2684,35 K,16 oz.,Milk / Sweet Stout
9,4.2%,"Louisville, KY",Against the Grain Brewery,42,2683,A Beer,16 oz.,American Pale Ale (APA)
10,5.0%,"Louisville, KY",Against the Grain Brewery,25,2682,Rules are Rules,16 oz.,German Pilsener
11,6.6%,"Louisville, KY",Against the Grain Brewery,21,2681,Flesh Gourd'n,16 oz.,Pumpkin Ale
12,4.0%,"Louisville, KY",Against the Grain Brewery,13,2680,Sho'nuff,16 oz.,Belgian Pale Ale
13,5.5%,"Louisville, KY",Against the Grain Brewery,17,2679,Bloody Show,16 oz.,American Pilsner
14,7.6%,"Louisville, KY",Against the Grain Brewery,68,2678,Rico Sauvin,16 oz.,American Double / Imperial IPA
15,5.1%,"Louisville, KY",Against the Grain Brewery,38,2677,Coq de la Marche,16 oz.,Saison / Farmhouse Ale
16,6.5%,"Louisville, KY",Against the Grain Brewery,N/A,2676,Kamen Knuddeln,16 oz.,American Wild Ale
17,6.0%,"Louisville, KY",Against the Grain Brewery,65,2675,Pile of Face,16 oz.,American IPA
18,5.0%,"Louisville, KY",Against the Grain Brewery,20,2674,The Brown Note,16 oz.,English Brown Ale
19,5.2%,"Framingham, MA",Jack's Abby Craft Lagers,18,2673,House Lager,16 oz.,Keller Bier / Zwickel Bier
20,4.8%,"Framingham, MA",Jack's Abby Craft Lagers,15,2672,Leisure Time,12 oz. ,American Pale Lager
21,7.2%,"Framingham, MA",Jack's Abby Craft Lagers,80,2671,Excess IPL,16 oz.,American India Pale Lager
22,6.7%,"Framingham, MA",Jack's Abby Craft Lagers,65,2670,Hoponius Union,12 oz.,American India Pale Lager
23,4.9%,"Framingham, MA",Jack's Abby Craft Lagers,45,2669,Calyptra,12 oz.,American India Pale Lager
24,8.0%,"San Diego, CA",Mike Hess Brewing Company,100,2668,Habitus (2014),16 oz.,American Double / Imperial IPA
25,7.5%,"San Diego, CA",Mike Hess Brewing Company,85,2667,Solis,16 oz.,American IPA
26,6.0%,"San Diego, CA",Mike Hess Brewing Company,24,2666,Jucundus,16 oz.,Wheat Ale
27,8.0%,"San Diego, CA",Mike Hess Brewing Company,100,2664,Habitus,16 oz.,American Double / Imperial IPA
28,6.3%,"San Diego, CA",Mike Hess Brewing Company,30,2663,Grazias,16 oz.,Cream Ale
29,5.8%,"San Diego, CA",Mike Hess Brewing Company,28,2662,Claritas,16 oz.,Kölsch
30,4.7%,"San Francisco, CA",Fort Point Beer Company,19,2661,Park,12 oz.,American Pale Wheat Ale
31,5.6%,"San Francisco, CA",Fort Point Beer Company,16,2660,Westfalia,12 oz.,American Amber / Red Ale
32,4.6%,"San Francisco, CA",Fort Point Beer Company,17,2659,KSA,12 oz.,Kölsch
33,6.3%,"San Francisco, CA",Fort Point Beer Company,42,2658,Villager,12 oz.,American IPA
34,9.3%,"Charleston, SC",COAST Brewing Company,N/A,2657,Blackbeard,12 oz.,American Double / Imperial Stout
35,6.2%,"Charleston, SC",COAST Brewing Company,N/A,2656,Rye Knot,12 oz.,American Brown Ale
36,6.0%,"Charleston, SC",COAST Brewing Company,N/A,2655,Dead Arm,12 oz.,American Pale Ale (APA)
37,4.8%,"Charleston, SC",COAST Brewing Company,N/A,2654,32°/50° Kölsch ,16 oz.,Kölsch
38,7.7%,"Charleston, SC",COAST Brewing Company,N/A,2653,HopArt,16 oz.,American IPA
39,9.7%,"Charleston, SC",COAST Brewing Company,N/A,2652,Boy King,16 oz.,American Double / Imperial IPA
40,5.0%,"Denver, CO",Great Divide Brewing Company,N/A,2650,Denver Pale Ale (Artist Series No. 1),12 oz.,American Pale Ale (APA)
41,8.7%,"Denver, CO",Great Divide Brewing Company,N/A,2649,Hibernation Ale,12 oz.,Old Ale
42,6.1%,"Denver, CO",Great Divide Brewing Company,N/A,2648,Whitewater,12 oz.,American Pale Wheat Ale
43,7.1%,"Denver, CO",Great Divide Brewing Company,N/A,2647,Rumble,12 oz.,American IPA
44,8.3%,"Denver, CO",Great Divide Brewing Company,N/A,2646,Orabelle,12 oz.,Tripel
45,5.0%,"Denver, CO",Great Divide Brewing Company,N/A,2645,Lasso,12 oz.,American IPA
46,9.5%,"Denver, CO",Great Divide Brewing Company,75,2644,Yeti  Imperial Stout,12 oz.,Russian Imperial Stout
47,7.3%,"Denver, CO",Great Divide Brewing Company,N/A,2643,Colette,12 oz.,Saison / Farmhouse Ale
