,Latitude,Location,Longitude
0,26°24'N,Abhayapuri,90°38'E
1,10°59'N,Karaikal,79°50'E
2,30°10'N,Abohar,74°10'E
3,10°05'N,Karaikkudi,78°45'E
4,24°41'N,Abu,72°50'E
5,25°31'N,Karamnasa,83°52'E
6,21°22'N,Achalpur,77°32'E
7,21°47'N,Karanjia,85°58'E
8,23°10'N,Acher,72°32'E
9,26°30'N,Karauli,77°04'E
10,23°26'N,Adhoi,70°32'E
11,25°17'N,Karchana,81°56'E
12,19°33'N,Adilabad,78°20'E
13,25°44'N,Kareha,86°21'E
14,15°33'N,Adoni,77°18'E
15,25°32'N,Karera,78°09'E
16,23°30'N,Adra,86°42'E
17,34°32'N,Kargil,76°12'E
18,23°40'N,Agar,76°02'E
19,27°01'N,Karhal,78°57'E
20,23°50'N,Agartala,91°23'E
21,18°26'N,Karimnagar,79°10'E
22,24°33'N,Agori,82°57'E
23,29°42'N,Karnal,77°02'E
24,27°17'N,Agra,77°58'E
25,30°16'N,Karnaprayag,79°15'E
26,19°30'N,Ahiri,80°00'E
27,13°15'N,Karnataka,77°00'E
28,23°00'N,Ahemadabad,72°40'E
29,26°56'N,Karsiyang,88°18'E
30,19°07'N,Ahmadnagar,74°46'E
31,31°23'N,Karsog,77°12'E
32,23°00'N,Ahmedabad/Ahmadabd,72°40'E
33,31°27'N,Kartapur,75°32'E
34,19°07'N,Ahmednagar/Ahmednagar,74°46'E
35,27°26'N,Karwan,78°04'E
36,26°26'N,Ai,90°44'E
37,14°55'N,Karwar,74°13'E
38,25°54'N,Ait,79°14'E
39,25°12'N,Karwi,80°57'E
40,23°40'N,Aizawl,92°44'E
41,12°30'N,Kasaragod,74°58'E
42,24°52'N,Ajaigarh,80°16'E
43,27°48'N,Kasganj,78°42'E
44,20°28'N,"Ajanta Ra.,",75°50'E
45,29°15'N,Kashipur,79°00'E
46,26°28'N,Ajmer,74°37'E
47,22°08'N,Kasiari,87°14'E
48,31°50'N,Ajnala,74°48'E
49,21°56'N,Katangi,79°50'E
50,24°39'N,"Akbarpur, Bihar",83°58'E
51,22°30'N,Katghora,82°33'E
52,26°25'N,"Akbarpur, Uttar Pradesh",82°32'E
53,21°47'N,Kathi,74°03'E
54,32°52'N,Akhnur,74°45'E
55,22°20'N,Kathiawar,71°00'E
56,24°26'N,Aklera,76°32'E
57,32°23'N,Kathua,75°34'E
58,20°42'N,Akola,77°02'E
59,25°34'N,Katihar,87°36'E
60,30°08'N,Alaknanda,78°36'E
61,23°51'N,Katni,80°24'E
62,09°30'N,Alappuzha/Alleppey,76°28'E
63,23°30'N,Katwa,88°05'E
64,27°30'N,Aliganj,79°10'E
65,27°31'N,Kauwapur,82°18'E
66,25°55'N,"Aligarh, Rajasthan.,",76°15'E
67,14°55'N,Karvali,80°01'E
68,27°55'N,"Aligarh, Uttar Pradesh.,",78°10'E
69,22°12'N,Kavi,72°38'E
70,26°30'N,Alipur Duar,89°35'E
71,22°00'N,Kawardha,81°17'E
72,25°25'N,Allahabad,81°58'E
73,30°44'N,Kedarnath,79°04'E
74,09°30'N,Alleppey,76°28'E
75,26°00'N,Kekri,75°10'E
76,29°38'N,Almora,79°40'E
77,25°13'N,Ken,80°27'E
78,23°56'N,A lot,75°40'E
79,22°45'N,Kendai,82°37'E
80,27°38'N,Alwar,76°34'E
81,20°35'N,Kendrapara,86°30'E
82,21°05'N,Amalner,75°05'E
83,21°28'N,Keonjhargarh,85°35'E
84,24°07'N,Amanat,84°04'E
85,11°00'N,Kerala,76°15'E
86,22°40'N,Amarkantak,81°45'E
87,28°01'N,Ketri,75°50'E
88,25°05'N,Amarpur,87°00'E
89,23°25'N,Khachrod,75°20'E
90,22°18'N,Amarwara,79°10'E
91,25°47'N,Khaga,81°07'E
92,26°43'N,Ambah,78°13'E
93,25°30'N,Khagaria,86°32'E
94,30°23'N,Ambala,76°56'E
95,27°57'N,Khair,77°46'E
96,23°15'N,Ambikapur,83°15'E
97,27°33'N,Khairabad,80°47'E
98,23°51'N,Amdhi,81°27'E
99,21°27'N,Khairgarh,81°02'E
100,25°18'N,Amet,73°56'E
101,23°58'N,Khairwara,73°38'E
102,21°56'N,Amla,78°07'E
103,26°48'N,Khalilabad,83°05'E
104,20°55'N,Amravati,77°45'E
105,23°05'N,Khamaria,80°48'E
106,21°35'N,Amreli,71°17'E
107,22°14'N,Khambhaliya,69°41'E
108,31°35'N,Amritsar,74°57'E
109,22°23'N,Khambhat,72°33'E
110,28°53'N,Amroha,78°30'E
111,20°45'N,"Khambhat, G. of",72°30'E
112,17°42'N,Anakapalle,83°06'E
113,21°49'N,Khandwa,76°22'E
114,22°32'N,Anand,72°79'E
115,25°01'N,Khaniadhana,78°08'E
116,33°45'N,Anantnag,75°10'E
117,30°42'N,Khanna,76°16'E
118,23°26'N,Anas,74°00'E
119,23°11'N,Kharaghoda,71°46'E
120,18°00'N,Andhra Pradesh,79°00'E
121,22°20'N,Kharagpur,87°25'E
122,23°06'N,Anjar,70°10'E
123,18°40'N,Kharda,75°34'E
124,29°10'N,Anupgarh,73°10'E
125,34°20'N,Khardung La.,77°43'E
126,23°06'N,Anuppur,81°41'E
127,21°45'N,Khargon,75°40'E
128,28°16'N,Aonla,79°11'E
129,25°54'N,Khari,74°31'E
130,25°35'N,Ara,84°32'E
131,22°48'N,Kharsawangarh,85°50'E
132,26°27'N,Arain,75°02'E
133,29°17'N,Khatauli,77°43'E
134,26°09'N,Araria,87°33'E
135,22°59'N,Khatra,86°51'E
136,12°53'N,Arcot,79°20'E
137,23°51'N,Khavda,69°43'E
138,31°09'N,Arki,76°58'E
139,24°07'N,Khed Brahma,73°05'E
140,25°57'N,Aron,77°56'E
141,28°52'N,Khekra,77°20'E
142,25°35'N,Arrah/Ara,84°32'E
143,24°02'N,Khilchipur,76°34'E
144,28°00'N,Arunachal Pradesh,95°00'E
145,22°11'N,Khirsadoh,78°47'E
146,25°15'N,Arwal,84°41'E
147,27°09'N,Khuiyala,70°25'E
148,26°37'N,Asan,78°24'E
149,23°47'N,Khujner,76°36'E
150,23°40'N,Asansol,87°01'E
151,23°05'N,Khunti,85°17'E
152,23°01'N,Ashta,76°43'E
153,24°03'N,Khurai,78°23'E
154,19°20'N,Asifabad,79°24'E
155,28°15'N,Khurja,77°58'E
156,23°58'N,Aspur,74°07'E
157,28°53'N,Kichha,79°30'E
158,26°00'N,Assam,93°00'E
159,28°41'N,Kichha,79°18'E
160,37°35'N,Atrauli,53°58'E
161,33°06'N,Kilar,76°25'E
162,11°35'N,Attur,78°30'E
163,18°34'N,Kirkee,73°56'E
164,26°28'N,Auraiya,79°33'E
165,26°03'N,Kishanganj,88°14'E
166,24°45'N,"Aurangabad, Bihar",84°18'E
167,26°34'N,"Kishangarh, Raj.",74°52'E
168,19°50'N,"Aurangabad, Maharashtra",75°23'E
169,27°50'N,"Kishangarh, Raj.",70°30'E
170,33°55'N,Awantipur,75°03'E
171,33°20'N,Kishtwar,75°48'E
172,26°05'N,Azamgarh,83°13'E
173,24°33'N,Kivarli,72°46'E
174,24°14'N,Azimganj,88°16'E
175,26°22'N,Koch Bihar,89°29'E
176,27°21'N,Babai/Sarju,81°23'E
177,25°15'N,Kochas,83°56'E
178,25°33'N,Baberu,80°43'E
179,09°58'N,Kochi/Cochin,76°20'E
180,26°49'N,Babuhri,69°43'E
181,24°28'N,Kodarma,85°36'E
182,25°35'N,Bachhwara,85°54'E
183,20°46'N,Kodinar,70°46'E
184,22°07'N,Bada Barabil,85°24'E
185,25°35'N,Kohima,94°10'E
186,11°35'N,Badagara,75°40'E
187,34°12'N,Kolahoi,75°22'E
188,22°10'N,Badampahar,86°10'E
189,13°12'N,Kolar,78°15'E
190,30°45'N,Badarinath,79°30'E
191,12°58'N,Kolar Gold Fields,78°16'E
