,University,state
1,University of Alabama ,Alabama
2,University of Alabama at Birmingham ,Alabama
3,University of Alabama in Huntsville ,Alabama
4,Alabama Agricultural and Mechanical University ,Alabama
5,Alabama State University ,Alabama
6,Athens State University,Alabama
8,Auburn University ,Alabama
9,Auburn University at Montgomery,Alabama
10,Jacksonville State University,Alabama
11,University of Montevallo,Alabama
12,University of North Alabama ,Alabama
13,University of South Alabama ,Alabama
15,Troy University ,Alabama
16,Troy University at Dothan,Alabama
17,Troy University at Montgomery,Alabama
18,University of West Alabama ,Alabama
19,University of accountancy and law,Alabama
21,University of Alaska Fairbanks ,Alaska
22,University of Alaska Anchorage ,Alaska
23,University of Alaska Southeast ,Alaska
24,Arizona State University ,Arizona
25,"Arizona State University, Downtown Phoenix",Arizona
26,"Arizona State University, Polytechnic",Arizona
27,"Arizona State University, Skysong",Arizona
28,"Arizona State University, West",Arizona
29,Northern Arizona University ,Arizona
30,University of Arizona ,Arizona
31,"University of Arizona, South",Arizona
33,University of Arkansas ,Arkansas
34,University of Arkansas – Fort Smith,Arkansas
35,University of Arkansas at Little Rock,Arkansas
36,University of Arkansas for Medical Sciences,Arkansas
37,University of Arkansas at Monticello,Arkansas
38,University of Arkansas at Pine Bluff,Arkansas
39,Arkansas State University,Arkansas
40,Arkansas Tech University,Arkansas
41,University of Central Arkansas ,Arkansas
42,Henderson State University,Arkansas
43,Southern Arkansas University ,Arkansas
45,"University of California, Berkeley ",California
46,"University of California, Davis ",California
47,"University of California, Irvine ",California
48,"University of California, Los Angeles ",California
49,"University of California, Merced ",California
50,"University of California, Riverside ",California
51,"University of California, San Diego ",California
52,"University of California, San Francisco ",California
53,"University of California, Santa Barbara ",California
54,"University of California, Santa Cruz ",California
55,"University of California, Hastings College of the Law ",California
57,"California State University, Bakersfield ",California
58,"California State University, Channel Islands ",California
59,"California State University, Chico ",California
60,"California State University, Dominguez Hills ",California
61,"California State University, East Bay ",California
62,"California State University, Fresno ",California
63,"California State University, Fullerton ",California
64,Humboldt State University ,California
65,"California State University, Long Beach ",California
66,"California State University, Los Angeles ",California
67,California Maritime Academy ,California
68,"California State University, Monterey Bay ",California
69,"California State University, Northridge ",California
70,"California State Polytechnic University, Pomona ",California
71,"California State University, Sacramento ",California
72,"California State University, San Bernardino ",California
73,San Diego State University ,California
74,San Francisco State University ,California
75,San Jose State University ,California
76,"California Polytechnic State University, San Luis Obispo ",California
77,"California State University, San Marcos ",California
78,Sonoma State University ,California
79,"California State University, Stanislaus ",California
80,Adams State University,Colorado
82,University of Colorado Boulder ,Colorado
83,University of Colorado Colorado Springs ,Colorado
84,University of Colorado Denver ,Colorado
85,Colorado Mesa University,Colorado
86,Colorado School of Mines,Colorado
88,Colorado State University ,Colorado
89,Colorado State University–Pueblo ,Colorado
90,CSU–Global Campus ,Colorado
91,Fort Lewis College,Colorado
92,Metropolitan State University of Denver,Colorado
93,University of Northern Colorado,Colorado
94,Western State Colorado University ,Colorado
95,Charter Oak State College ,Connecticut
97,Central Connecticut State University ,Connecticut
98,Eastern Connecticut State University ,Connecticut
99,Southern Connecticut State University ,Connecticut
100,Western Connecticut State University ,Connecticut
102,University of Connecticut ,Connecticut
103,UConn Avery Point Campus in Groton,Connecticut
104,UConn Graduate Business Campus in Hartford,Connecticut
105,UConn Greater Hartford Campus in West Hartford ,Connecticut
106,UConn Stamford Campus in Stamford,Connecticut
107,UConn Torrington Campus in Torrington,Connecticut
108,UConn Waterbury Campus in Waterbury,Connecticut
109,University of Delaware ,Delaware
110,Delaware State University,Delaware
111,University of the District of Columbia ,District of Columbia
113,Florida A&M University ,Florida
114,Florida Atlantic University ,Florida
115,Florida Gulf Coast University ,Florida
116,Florida International University ,Florida
117,Florida Polytechnic University ,Florida
118,Florida State University ,Florida
119,New College of Florida,Florida
120,University of Central Florida ,Florida
121,University of Florida ,Florida
122,University of North Florida ,Florida
123,University of South Florida ,Florida
124,University of West Florida ,Florida
126,Abraham Baldwin Agricultural College,Georgia
127,Albany State University,Georgia
128,Armstrong State University,Georgia
129,Atlanta Metropolitan State College,Georgia
130,Augusta University,Georgia
131,Bainbridge State College,Georgia
132,Clayton State University,Georgia
133,College of Coastal Georgia,Georgia
134,Columbus State University,Georgia
135,Dalton State College,Georgia
136,East Georgia State College,Georgia
137,Fort Valley State University,Georgia
138,University of Georgia ,Georgia
139,Georgia College and State University,Georgia
140,Georgia Gwinnett College,Georgia
141,Georgia Highlands College,Georgia
142,Georgia Institute of Technology ,Georgia
143,Georgia Southern University,Georgia
144,Georgia Southwestern State University ,Georgia
145,Georgia State University ,Georgia
146,Gordon State College,Georgia
147,Kennesaw State University,Georgia
148,Middle Georgia State University,Georgia
149,University of North Georgia ,Georgia
150,Savannah State University,Georgia
151,South Georgia State College ,Georgia
152,Valdosta State University ,Georgia
153,University of West Georgia ,Georgia
154,University of Guam,Guam
156,University of Hawaii at Manoa ,Hawaii
157,University of Hawaii at Hilo,Hawaii
158,University of Hawaii at West Oahu,Hawaii
159,Boise State University ,Idaho
160,University of Idaho ,Idaho
161,Idaho State University ,Idaho
162,Lewis-Clark State College,Idaho
163,Chicago State University ,Illinois
164,Eastern Illinois University ,Illinois
165,Governors State University,Illinois
166,Illinois State University ,Illinois
168,University of Illinois at Urbana–Champaign ,Illinois
169,University of Illinois at Chicago ,Illinois
170,University of Illinois at Springfield ,Illinois
171,Northeastern Illinois University,Illinois
172,Northern Illinois University ,Illinois
174,Southern Illinois University Carbondale ,Illinois
175,Southern Illinois University Edwardsville ,Illinois
177,Western Illinois University-Quad Cities ,Illinois
178,Ball State University,Indiana
180,Indiana University Bloomington ,Indiana
181,Indiana University East,Indiana
182,Indiana University Kokomo ,Indiana
183,Indiana University Northwest,Indiana
184,Indiana University South Bend ,Indiana
185,Indiana University Southeast,Indiana
187,Indiana University – Purdue University Columbus ,Indiana
188,Indiana State University ,Indiana
190,Purdue University ,Indiana
191,Indiana University – Purdue University Fort Wayne ,Indiana
192,Purdue University Northwest - ,Indiana
193,University of Southern Indiana ,Indiana
194,University of Iowa ,Iowa
195,Iowa State University ,Iowa
196,University of Northern Iowa ,Iowa
197,Emporia State University,Kansas
198,Fort Hays State University,Kansas
199,University of Kansas ,Kansas
200,Kansas State University ,Kansas
201,Pittsburg State University,Kansas
202,Wichita State University,Kansas
203,Eastern Kentucky University ,Kentucky
204,University of Kentucky ,Kentucky
205,Kentucky State University,Kentucky
206,University of Louisville ,Kentucky
207,Morehead State University,Kentucky
208,Murray State University,Kentucky
209,Northern Kentucky University ,Kentucky
210,Western Kentucky University ,Kentucky
212,Louisiana State University and A&M College ,Louisiana
213,Louisiana State University at Alexandria ,Louisiana
214,Louisiana State University at Eunice ,Louisiana
215,Louisiana State University in Shreveport ,Louisiana
216,Louisiana State University Health Sciences Center Shreveport,Louisiana
217,Louisiana State University Health Sciences Center New Orleans,Louisiana
218,Paul M. Hebert Law Center ,Louisiana
220,Grambling State University ,Louisiana
221,Louisiana Tech University ,Louisiana
222,McNeese State University ,Louisiana
223,Nicholls State University,Louisiana
224,Northwestern State University ,Louisiana
225,Southeastern Louisiana University ,Louisiana
226,University of Louisiana at Lafayette ,Louisiana
227,University of Louisiana at Monroe ,Louisiana
228,University of New Orleans ,Louisiana
230,Southern University ,Louisiana
231,Southern University at New Orleans ,Louisiana
232,Southern University at Shreveport ,Louisiana
233,Maine Maritime Academy,Maine
235,University of Maine ,Maine
236,University of Maine Law School,Maine
237,University of Maine at Augusta ,Maine
238,University of Maine at Farmington ,Maine
239,University of Maine at Fort Kent ,Maine
240,University of Maine at Machias ,Maine
241,University of Maine at Presque Isle ,Maine
242,University of Southern Maine ,Maine
243,Morgan State University,Maryland
244,St. Mary's College of Maryland,Maryland
247,Virginia–Maryland College of Veterinary Medicine ,Maryland
248,Bowie State University,Maryland
249,Coppin State University,Maryland
250,Frostburg State University,Maryland
251,Salisbury University,Maryland
252,Towson University ,Maryland
253,University of Baltimore ,Maryland
254,"University of Maryland, Baltimore ",Maryland
255,"University of Maryland, Baltimore County ",Maryland
256,University of Maryland Eastern Shore ,Maryland
257,University of Maryland University College ,Maryland
258,University of Maryland Center for Environmental Science,Maryland
259,University of Maryland Biotechnology Institute,Maryland
261,University of Massachusetts Amherst ,Massachusetts
262,University of Massachusetts Boston ,Massachusetts
263,University of Massachusetts Dartmouth ,Massachusetts
264,University of Massachusetts Lowell ,Massachusetts
265,University of Massachusetts Medical School,Massachusetts
267,Bridgewater State University,Massachusetts
268,Fitchburg State University,Massachusetts
269,Framingham State University,Massachusetts
270,Salem State University,Massachusetts
271,Westfield State University,Massachusetts
272,Worcester State University,Massachusetts
273,Massachusetts College of Art and Design ,Massachusetts
274,Massachusetts College of Liberal Arts,Massachusetts
275,Massachusetts Maritime Academy,Massachusetts
276,Central Michigan University ,Michigan
277,Eastern Michigan University ,Michigan
278,Ferris State University ,Michigan
279,Grand Valley State University ,Michigan
280,Lake Superior State University,Michigan
282,University of Michigan ,Michigan
283,University of Michigan-Dearborn,Michigan
284,University of Michigan-Flint,Michigan
285,Michigan State University ,Michigan
286,Michigan Technological University ,Michigan
287,Northern Michigan University ,Michigan
288,Oakland University,Michigan
289,Saginaw Valley State University,Michigan
290,Wayne State University,Michigan
291,Western Michigan University ,Michigan
293,Bemidji State University,Minnesota
294,"Minnesota State University, Mankato ",Minnesota
295,Minnesota State University Moorhead,Minnesota
296,Metropolitan State University,Minnesota
297,Southwest Minnesota State University,Minnesota
298,St. Cloud State University,Minnesota
299,Winona State University,Minnesota
301,University of Minnesota Twin Cities ,Minnesota
302,University of Minnesota Crookston,Minnesota
303,University of Minnesota Duluth,Minnesota
304,University of Minnesota Morris,Minnesota
305,University of Minnesota Rochester,Minnesota
306,Alcorn State University,Mississippi
307,Delta State University ,Mississippi
308,Jackson State University ,Mississippi
309,Mississippi State University ,Mississippi
310,Mississippi University for Women ,Mississippi
311,Mississippi Valley State University,Mississippi
312,University of Mississippi ,Mississippi
313,University of Southern Mississippi ,Mississippi
314,University of Central Missouri ,Missouri
315,Harris-Stowe State University,Missouri
316,Lincoln University of Missouri,Missouri
318,University of Missouri ,Missouri
319,University of Missouri–Kansas City ,Missouri
320,Missouri University of Science and Technology ,Missouri
321,University of Missouri–St. Louis ,Missouri
322,Missouri Southern State University,Missouri
323,Missouri State University,Missouri
324,Missouri Western State University,Missouri
325,Northwest Missouri State University,Missouri
326,Southeast Missouri State University,Missouri
327,Truman State University,Missouri
330,Montana State University ,Montana
331,Montana State University Billings ,Montana
332,Montana State University–Northern ,Montana
334,University of Montana ,Montana
335,Montana Tech of The University of Montana ,Montana
336,University of Montana Western ,Montana
338,Chadron State College,Nebraska
339,Peru State College,Nebraska
340,Wayne State College,Nebraska
342,University of Nebraska-Lincoln ,Nebraska
343,University of Nebraska at Kearney,Nebraska
344,University of Nebraska at Omaha,Nebraska
345,University of Nebraska Medical Center,Nebraska
347,"University of Nevada, Reno ",Nevada
348,College of Southern Nevada ,Nevada
349,Great Basin College ,Nevada
350,Nevada State College,Nevada
351,"University of Nevada, Las Vegas ",Nevada
352,Western Nevada College ,Nevada
354,Granite State College,New Hampshire
355,Keene State College,New Hampshire
356,Plymouth State University,New Hampshire
357,University of New Hampshire ,New Hampshire
358,The College of New Jersey,New Jersey
359,Kean University,New Jersey
360,Montclair State University,New Jersey
361,New Jersey City University,New Jersey
362,New Jersey Institute of Technology ,New Jersey
363,Ramapo College of New Jersey,New Jersey
365,Rowan University School of Osteopathic Medicine ,New Jersey
366,Cooper Medical School of Rowan University ,New Jersey
368,Rutgers University ,New Jersey
369,Rutgers–Newark,New Jersey
370,Rutgers–Camden,New Jersey
371,Rutgers Schools of Biomedical and Health Sciences ,New Jersey
372,Stockton University,New Jersey
373,Thomas Edison State University,New Jersey
374,William Paterson University of New Jersey,New Jersey
375,University of New Mexico ,New Mexico
376,New Mexico Institute of Mining and Technology ,New Mexico
377,New Mexico State University ,New Mexico
378,New Mexico Highlands University,New Mexico
379,Eastern New Mexico University ,New Mexico
380,Western New Mexico University ,New Mexico
383,The State University of New York at Buffalo ,New York
384,University at Albany,New York
385,Binghamton University,New York
386,Stony Brook University,New York
388,Health Science Center Brooklyn,New York
389,State University of New York Upstate Medical University,New York
390,State University of New York Polytechnic Institute ,New York
391,New York State College of Ceramics ,New York
392,College of Agriculture and Life Sciences ,New York
393,College of Human Ecology ,New York
394,College of Veterinary Medicine ,New York
395,School of Industrial and Labor Relations ,New York
396,State University of New York College of Environmental Science and Forestry,New York
397,State University of New York State College of Optometry,New York
399,Buffalo State College,New York
400,Empire State College,New York
401,State University of New York at Brockport ,New York
402,State University of New York at Cortland ,New York
403,State University of New York at Fredonia ,New York
404,State University of New York at Geneseo ,New York
405,State University of New York at New Paltz ,New York
406,State University of New York at Old Westbury ,New York
407,State University of New York at Oneonta ,New York
408,State University of New York at Oswego ,New York
409,State University of New York at Plattsburgh ,New York
410,State University of New York at Potsdam ,New York
411,State University of New York at Purchase ,New York
413,Alfred State College,New York
414,Fashion Institute of Technology ,New York
415,State University of New York at Canton ,New York
416,State University of New York at Cobleskill ,New York
417,State University of New York at Delhi ,New York
418,State University of New York at Farmingdale ,New York
419,Morrisville State College,New York
420,State University of New York Maritime College ,New York
423,Baruch College,New York
424,Brooklyn College,New York
425,City College of New York,New York
426,College of Staten Island,New York
427,Hunter College,New York
428,John Jay College of Criminal Justice,New York
429,Lehman College,New York
430,Medgar Evers College,New York
431,New York City College of Technology,New York
432,Queens College,New York
433,Sophie Davis School of Biomedical Education,New York
434,York College,New York
436,CUNY Graduate Center,New York
437,CUNY Graduate School of Journalism,New York
438,CUNY School of Law,New York
439,CUNY School of Professional Studies,New York
440,CUNY School of Public Health,New York
441,Sophie Davis School of Biomedical Education,New York
442,William E. Macaulay Honors College,New York
444,Appalachian State University ,North Carolina
445,East Carolina University ,North Carolina
446,Elizabeth City State University ,North Carolina
447,Fayetteville State University ,North Carolina
448,North Carolina A&T State University ,North Carolina
449,North Carolina Central University ,North Carolina
450,North Carolina State University ,North Carolina
451,University of North Carolina at Asheville ,North Carolina
453,University of North Carolina at Charlotte ,North Carolina
454,University of North Carolina at Greensboro ,North Carolina
455,University of North Carolina at Pembroke ,North Carolina
456,University of North Carolina at Wilmington ,North Carolina
457,University of North Carolina School of the Arts ,North Carolina
458,Western Carolina University ,North Carolina
459,Winston-Salem State University ,North Carolina
461,Dickinson State University,North Dakota
462,Mayville State University,North Dakota
463,Minot State University,North Dakota
464,University of North Dakota ,North Dakota
465,North Dakota State University ,North Dakota
466,Valley City State University,North Dakota
467,Northern Marianas College ,Northern Mariana Islands
469,University of Akron ,Ohio
471,BGSU Firelands ,Ohio
472,Central State University,Ohio
474,University of Cincinnati ,Ohio
475,"University of Cincinnati, Clermont College ",Ohio
476,"University of Cincinnati, Raymond Walters College ",Ohio
477,Cleveland State University,Ohio
478,Kent State University system,Ohio
480,Miami University ,Ohio
481,Miami University Hamilton,Ohio
482,Miami University Middletown,Ohio
483,Miami University Dolibois European Center ,Ohio
485,Ohio State University ,Ohio
486,Ohio State University Agricultural Technical Institute ,Ohio
487,"Ohio State University, Lima Campus",Ohio
488,"Ohio State University, Mansfield Campus",Ohio
489,"Ohio State University, Marion Campus",Ohio
490,"Ohio State University, Newark Campus",Ohio
492,Ohio University ,Ohio
493,Ohio University Chillicothe,Ohio
494,Ohio University Eastern ,Ohio
495,Ohio University Lancaster,Ohio
496,Ohio University Pickerington ,Ohio
497,Ohio University Proctorville ,Ohio
498,Ohio University Southern ,Ohio
499,Ohio University Zanesville,Ohio
500,Shawnee State University,Ohio
501,University of Toledo,Ohio
502,Wright State University,Ohio
503,Youngstown State University,Ohio
504,Cameron University,Oklahoma
505,University of Central Oklahoma ,Oklahoma
506,East Central University,Oklahoma
507,Langston University,Oklahoma
508,Northeastern State University,Oklahoma
509,Northwestern Oklahoma State University,Oklahoma
511,University of Oklahoma ,Oklahoma
512,University of Oklahoma-Tulsa,Oklahoma
513,University of Oklahoma Health Sciences Center,Oklahoma
514,Oklahoma Panhandle State University,Oklahoma
